Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	pLI	DSI_g	DPI_g	N_diseases	N_SNPs
ADRA2A	150	P08913	adrenoceptor alpha 2A	G-protein coupled receptor	0.00081816	0.578	0.615	102	7
ADRA2B	151	P18089	adrenoceptor alpha 2B	G-protein coupled receptor	4.4533e-06	0.465	0.846	296	9
ADRA2C	152	P18825	adrenoceptor alpha 2C	G-protein coupled receptor	0.50159	0.682	0.346	40	0
ADRB1	153	P08588	adrenoceptor beta 1	G-protein coupled receptor	2.8786e-06	0.555	0.769	130	3
ADRB2	154	P07550	adrenoceptor beta 2	G-protein coupled receptor	0.52545	0.442	0.923	387	17
ADRB3	155	P13945	adrenoceptor beta 3	G-protein coupled receptor	2.4637e-07	0.533	0.731	142	8
GRK2	156	P25098	G protein-coupled receptor kinase 2	Kinase	0.99998	0.532	0.654	159	2
GRK3	157	P35626	G protein-coupled receptor kinase 3	Kinase	0.71059	0.621	0.731	56	3
ADSL	158	P30566	adenylosuccinate lyase	Enzyme	8.9207e-12	0.631	0.654	84	30
ADSS2	159	P30520	adenylosuccinate synthase 2	Enzyme	0.32971	0.839	0.308	11	2
AP2A1	160	O95782	adaptor related protein complex 2 subunit alpha 1	Receptor	1.0	0.641	0.5	50	5
AP2A2	161	O94973	adaptor related protein complex 2 subunit alpha 2	Receptor	1.0	0.76	0.423	11	3
AP1B1	162	Q10567	adaptor related protein complex 1 subunit beta 1	Transporter	0.99828	0.716	0.385	23	2
AP2B1	163	P63010	adaptor related protein complex 2 subunit beta 1	Transporter	0.9983	0.711	0.423	35	10
AP1G1	164	O43747	adaptor related protein complex 1 subunit gamma 1	Receptor	0.99998	0.89	0.115	7	44
AEBP1	165	Q8IUX7	AE binding protein 1		7.3471e-11	0.631	0.654	69	6
TLE5	166	Q08117	TLE family member 5, transcriptional modulator	Transcription factor	0.93594	0.695	0.538	32	0
CRISP1	167	P54107	cysteine rich secretory protein 1	Immune response	1.8344e-06	0.78	0.231	11	0
AFA	170		ankyloblepharon filiforme adnatum			0.792	0.462	12	0
AFG3L1P	172		AFG3 like matrix AAA peptidase subunit 1, pseudogene			0.931	0.115	5	11
AFM	173	P43652	afamin	Transporter	4.2654e-19	0.59	0.731	86	3
AFP	174	P02771	alpha fetoprotein	Transporter	1.1383e-11	0.429	0.885	392	9
AGA	175	P20933	aspartylglucosaminidase	Enzyme	4.2802e-06	0.57	0.808	143	55
ACAN	176	P16112	aggrecan	Extracellular structure	1.0	0.528	0.846	187	31
AGER	177	Q15109	advanced glycosylation end-product specific receptor	Receptor	6.3528e-16	0.42	0.885	450	16
AGL	178	P35573	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase	Enzyme	2.7564e-27	0.644	0.615	59	126
AGRP	181	O00253	agouti related neuropeptide	Signaling	0.00069912	0.488	0.769	233	2
JAG1	182	P78504	jagged canonical Notch ligand 1		1.0	0.429	0.808	420	63
AGT	183	P01019	angiotensinogen	Enzyme modulator	4.9706e-08	0.367	0.923	765	43
AGTR1	185	P30556	angiotensin II receptor type 1	G-protein coupled receptor	0.00053161	0.423	0.846	440	33
AGTR2	186	P50052	angiotensin II receptor type 2	G-protein coupled receptor	0.0082345	0.496	0.808	229	6
APLNR	187	P35414	apelin receptor	G-protein coupled receptor	0.78907	0.588	0.692	94	6
AGXT	189	P21549	alanine--glyoxylate and serine--pyruvate aminotransferase	Enzyme	1.2332e-07	0.593	0.731	94	169
NR0B1	190	P51843	nuclear receptor subfamily 0 group B member 1	Nuclear receptor	0.97025	0.494	0.808	222	61
AHCY	191	P23526	adenosylhomocysteinase	Enzyme	0.035922	0.582	0.692	107	37
AIC	192		Aicardi syndrome			0.729	0.462	21	0
AHR	196	P35869	aryl hydrocarbon receptor	Transcription factor	0.99999	0.41	0.923	532	20
AHSG	197	P02765	alpha 2-HS glycoprotein	Enzyme modulator	3.209e-10	0.506	0.846	204	18
AIF1	199	P55008	allograft inflammatory factor 1	Calcium-binding protein	1.8793e-06	0.521	0.808	166	8
CRYBG1	202	Q9Y4K1	crystallin beta-gamma domain containing 1		3.5143e-33	0.743	0.462	22	3
AK1	203	P00568	adenylate kinase 1	Kinase	0.027319	0.711	0.5	20	9
AK2	204	P54819	adenylate kinase 2	Kinase	6.2706e-05	0.678	0.423	54	9
AK4	205	P27144	adenylate kinase 4	Kinase	0.13353	0.705	0.462	27	2
AKT1	207	P31749	AKT serine/threonine kinase 1	Kinase	0.9759	0.311	0.962	1250	33
AKT2	208	P31751	AKT serine/threonine kinase 2	Kinase	0.64432	0.474	0.769	264	18
ALAD	210	P13716	aminolevulinate dehydratase	Enzyme	5.6185e-05	0.556	0.615	135	8
ALAS1	211	P13196	5'-aminolevulinate synthase 1	Enzyme	0.10979	0.705	0.462	27	3
ALAS2	212	P22557	5'-aminolevulinate synthase 2	Enzyme	0.99586	0.606	0.577	79	26
ALB	213	P02768	albumin	Transporter	0.64329	0.317	0.962	1198	21
ALCAM	214	Q13740	activated leukocyte cell adhesion molecule	Cell adhesion	0.73267	0.502	0.808	181	9
ABCD1	215	P33897	ATP binding cassette subfamily D member 1	Transporter	0.99896	0.563	0.731	154	90
ALDH1A1	216	P00352	aldehyde dehydrogenase 1 family member A1	Enzyme	0.95448	0.46	0.846	270	7
ALDH2	217	P05091	aldehyde dehydrogenase 2 family member	Enzyme	3.3959e-10	0.457	0.885	337	23
ALDH3A1	218	P30838	aldehyde dehydrogenase 3 family member A1		3.9013e-17	0.641	0.577	53	3
ALDH1B1	219	P30837	aldehyde dehydrogenase 1 family member B1	Enzyme	2.6981e-06	0.691	0.462	31	2
ALDH1A3	220	P47895	aldehyde dehydrogenase 1 family member A3	Enzyme	0.14128	0.578	0.654	83	6
ALDH3B1	221	P43353	aldehyde dehydrogenase 3 family member B1		6.2437e-06	0.821	0.346	6	1
ALDH3B2	222	P48448	aldehyde dehydrogenase 3 family member B2		3.1881e-13	1.0	0.077	1	0
ALDH9A1	223	P49189	aldehyde dehydrogenase 9 family member A1	Enzyme	1.0995e-11	0.76	0.269	17	4
ALDH3A2	224	P51648	aldehyde dehydrogenase 3 family member A2		9.4055e-06	0.619	0.769	78	27
ABCD2	225	Q9UBJ2	ATP binding cassette subfamily D member 2	Transporter	4.7079e-06	0.711	0.5	25	0
ALDOA	226	P04075	aldolase, fructose-bisphosphate A		0.0013228	0.631	0.615	61	4
ALDOB	229	P05062	aldolase, fructose-bisphosphate B		7.8786e-07	0.623	0.538	80	46
ALDOC	230	P09972	aldolase, fructose-bisphosphate C		0.092245	0.78	0.231	10	0
AKR1B1	231	P15121	aldo-keto reductase family 1 member B	Enzyme	2.0216e-05	0.491	0.885	220	3
AKR1B1P2	236		aldo-keto reductase family 1 member B1 pseudogene 2			1.0	0.154	1	0
ALK	238	Q9UM73	ALK receptor tyrosine kinase	Kinase	3.2299e-06	0.396	0.846	519	41
ALOX12	239	P18054	arachidonate 12-lipoxygenase, 12S type	Enzyme	1.4397e-15	0.558	0.692	119	7
ALOX5	240	P09917	arachidonate 5-lipoxygenase	Enzyme	1.2059e-06	0.447	0.885	342	16
ALOX5AP	241	P20292	arachidonate 5-lipoxygenase activating protein	Enzyme	0.070729	0.612	0.731	76	20
ALOX12B	242	O75342	arachidonate 12-lipoxygenase, 12R type	Enzyme	0.00075626	0.603	0.577	80	29
ALOX12P1	243		arachidonate 12-lipoxygenase pseudogene 1					1	1
ALOX12P2	245		arachidonate 12-lipoxygenase pseudogene 2			1.0	0.038	2	1
ALOX15	246	P16050	arachidonate 15-lipoxygenase	Enzyme	1.1397e-23	0.502	0.846	205	5
ALOX15B	247	O15296	arachidonate 15-lipoxygenase type B	Enzyme	1.4819e-18	0.663	0.462	42	2
ALPI	248	P09923	alkaline phosphatase, intestinal	Enzyme	2.4527e-18	0.563	0.769	98	0
ALPL	249	P05186	alkaline phosphatase, biomineralization associated	Enzyme	0.0003636	0.546	0.769	190	134
ALPP	250	P05187	alkaline phosphatase, placental	Enzyme	1.8144e-13	0.487	0.808	209	2
ALPG	251	P10696	alkaline phosphatase, germ cell	Enzyme	1.4933e-11	0.691	0.269	28	1
ALS3	253		amyotrophic lateral sclerosis 3 (autosomal dominant)			0.839	0.231	9	0
ALX3	257	O95076	ALX homeobox 3		0.019117	0.578	0.692	91	7
AMBN	258	Q9NP70	ameloblastin	Cellular structure	1.0497e-09	0.716	0.231	23	1
AMBP	259	P02760	alpha-1-microglobulin/bikunin precursor		2.7886e-13	0.537	0.731	150	1
AMCN	261		arthrogryposis multiplex congenita, neurogenic			0.682	0.615	42	0
AMD1	262	P17707	adenosylmethionine decarboxylase 1	Enzyme	0.98227	0.593	0.577	84	5
AMD1P2	263		adenosylmethionine decarboxylase 1 pseudogene 2			0.608	0.538	71	0
AMELX	265	Q99217	amelogenin X-linked		0.074507	0.599	0.769	72	14
AMELY	266	Q99218	amelogenin Y-linked		8.3683e-05	0.743	0.269	15	0
AMFR	267	Q9UKV5	autocrine motility factor receptor		5.8368e-05	0.599	0.692	71	3
AMH	268	P03971	anti-Mullerian hormone		3.3974e-12	0.476	0.846	242	12
AMHR2	269	Q16671	anti-Mullerian hormone receptor type 2	Kinase	2.7013e-10	0.638	0.423	52	8
AMPD1	270	P23109	adenosine monophosphate deaminase 1	Enzyme	1.9099e-21	0.573	0.692	106	8
AMPD2	271	Q01433	adenosine monophosphate deaminase 2	Enzyme	4.5084e-07	0.663	0.577	60	10
AMPD3	272	Q01432	adenosine monophosphate deaminase 3	Enzyme	1.1323e-12	0.743	0.385	40	26
AMPH	273	P49418	amphiphysin		1.7006e-05	0.653	0.462	47	2
BIN1	274	O00499	bridging integrator 1		0.77822	0.55	0.692	163	24
AMT	275	P48728	aminomethyltransferase		0.0027214	0.674	0.692	60	48
AMY1A	276	P04745	amylase alpha 1A		0.00032325	0.644	0.731	65	1
AMY1B	277	P04745	amylase alpha 1B		0.00060271	0.647	0.731	63	0
AMY1C	278	P04745	amylase alpha 1C		0.0033974	0.647	0.731	63	0
AMY2A	279	P04746	amylase alpha 2A		8.5411e-12	0.716	0.423	21	0
AMY2B	280	P19961	amylase alpha 2B		5.8844e-30	0.821	0.269	9	1
ANCR	282		Angelman syndrome chromosome region			0.751	0.154	16	0
ANG	283	P03950	angiogenin		0.28738	0.511	0.769	185	20
ANGPT1	284	Q15389	angiopoietin 1	Signaling	0.95208	0.446	0.808	340	18
ANGPT2	285	O15123	angiopoietin 2	Signaling	0.83208	0.41	0.846	457	17
ANK1	286	P16157	ankyrin 1		1.0	0.54	0.885	166	49
ANK2	287	Q01484	ankyrin 2		1.0	0.626	0.538	71	37
ANK3	288	Q12955	ankyrin 3		1.0	0.578	0.654	106	58
ANOP1	289		anophthalmos 1 (with mental retardation, without limb anomalies or dental or urogenital abnormalities)			0.89	0.154	3	0
ANPEP	290	P15144	alanyl aminopeptidase, membrane	Enzyme	3.7492e-09	0.462	0.769	280	4
SLC25A4	291	P12235	solute carrier family 25 member 4	Transporter	0.45334	0.568	0.692	160	12
SLC25A5	292	P05141	solute carrier family 25 member 5	Transporter	0.93194	0.736	0.346	29	0
SLC25A6	293	P12236	solute carrier family 25 member 6	Transporter	0.13859	0.769	0.231	19	0
ANXA1	301	P04083	annexin A1		1.2009e-07	0.442	0.885	336	1
ANXA2	302	P07355	annexin A2		9.7728e-05	0.453	0.808	294	1
ANXA2P2	304	A6NMY6	annexin A2 pseudogene 2			1.0	0.077	3	0
ANXA2P3	305		annexin A2 pseudogene 3			0.931	0.077	2	0
ANXA3	306	P12429	annexin A3		6.5152e-12	0.61	0.615	66	1
ANXA4	307	P09525	annexin A4		1.1858e-08	0.599	0.692	74	3
ANXA5	308	P08758	annexin A5		3.7978e-15	0.458	0.769	283	10
ANXA6	309	P08133	annexin A6		1.0804e-08	0.514	0.846	156	1
ANXA7	310	P20073	annexin A7		8.5846e-10	0.631	0.615	55	0
ANXA11	311	P50995	annexin A11		4.7001e-10	0.65	0.692	57	17
ANXA13	312	P27216	annexin A13		4.2441e-10	0.722	0.538	26	1
AOAH	313	P28039	acyloxyacyl hydrolase		4.3783e-14	0.722	0.462	23	1
AOC2	314	O75106	amine oxidase copper containing 2		3.2599e-15	0.674	0.654	37	0
AOX1	316	Q06278	aldehyde oxidase 1	Enzyme	1.171e-31	0.716	0.308	26	2
APAF1	317	O14727	apoptotic peptidase activating factor 1		9.6242e-06	0.525	0.769	145	6
NUDT2	318	P50583	nudix hydrolase 2	Enzyme	0.0057495	0.78	0.154	16	0
APOF	319	Q13790	apolipoprotein F		0.010295	0.805	0.231	9	0
APBA1	320	Q02410	amyloid beta precursor protein binding family A member 1	Transporter	0.53701	0.743	0.346	21	8
APBA2	321	Q99767	amyloid beta precursor protein binding family A member 2	Transporter	0.74272	0.7	0.385	31	2
APBB1	322	O00213	amyloid beta precursor protein binding family B member 1		0.96811	0.722	0.346	25	3
APBB2	323	Q92870	amyloid beta precursor protein binding family B member 2		0.065197	0.76	0.231	14	5
APC	324	P25054	APC regulator of WNT signaling pathway		1.0	0.373	0.962	703	681
APCS	325	P02743	amyloid P component, serum		0.031714	0.531	0.808	141	1
AIRE	326	O43918	autoimmune regulator		4.0468e-12	0.516	0.808	175	85
APEH	327	P13798	acylaminoacyl-peptide hydrolase	Enzyme	5.0018e-13	0.666	0.577	36	6
APEX1	328	P27695	apurinic/apyrimidinic endodeoxyribonuclease 1		1.9191e-07	0.458	0.846	305	14
BIRC2	329	Q13490	baculoviral IAP repeat containing 2	Enzyme modulator	0.42708	0.535	0.731	125	3
BIRC3	330	Q13489	baculoviral IAP repeat containing 3	Enzyme modulator	0.065597	0.491	0.769	209	3
XIAP	331	P98170	X-linked inhibitor of apoptosis	Enzyme modulator	0.91837	0.447	0.808	321	16
BIRC5	332	O15392	baculoviral IAP repeat containing 5	Enzyme modulator	0.055854	0.495	0.731	199	11
APLP1	333	P51693	amyloid beta precursor like protein 1	Enzyme modulator	0.12235	0.76	0.308	17	1
APLP2	334	Q06481	amyloid beta precursor like protein 2	Enzyme modulator	0.37966	0.659	0.462	44	3
APOA1	335	P02647	apolipoprotein A1		0.00054909	0.429	0.885	416	32
APOA2	336	P02652	apolipoprotein A2	Transporter	0.0448	0.582	0.769	77	4
APOA4	337	P06727	apolipoprotein A4		5.4536e-06	0.582	0.577	88	3
APOB	338	P04114	apolipoprotein B		1.9234e-16	0.453	0.808	339	122
APOBEC1	339	P41238	apolipoprotein B mRNA editing enzyme catalytic subunit 1	Enzyme	1.6791e-08	0.647	0.385	45	3
APOC1	341	P02654	apolipoprotein C1		0.21685	0.581	0.577	95	19
APOC1P1	342		apolipoprotein C1 pseudogene 1			0.89	0.154	8	5
AQP8	343	O94778	aquaporin 8	Ion channel	0.00036707	0.638	0.615	43	1
APOC2	344	P02655	apolipoprotein C2		0.40164	0.606	0.577	68	14
APOC3	345	P02656	apolipoprotein C3		0.010024	0.531	0.731	153	15
APOC4	346	P55056	apolipoprotein C4		8.893e-08	0.743	0.385	25	6
APOD	347	P05090	apolipoprotein D		0.00054449	0.584	0.577	89	3
APOE	348	P02649	apolipoprotein E		0.0018685	0.338	0.962	1049	62
APOH	350	P02749	apolipoprotein H		1.5614e-15	0.563	0.769	121	16
APP	351	P05067	amyloid beta precursor protein	Enzyme modulator	0.046544	0.422	0.846	485	114
APRT	353	P07741	adenine phosphoribosyltransferase		5.4539e-13	0.423	0.846	384	12
KLK3	354	P07288	kallikrein related peptidase 3	Enzyme	4.4271e-06	0.443	0.885	358	19
FAS	355	P25445	Fas cell surface death receptor		0.8117	0.372	0.923	754	47
FASLG	356	P48023	Fas ligand	Signaling	0.18345	0.43	0.885	398	6
SHROOM2	357	Q13796	shroom family member 2		0.0029403	0.729	0.385	21	3
AQP1	358	P29972	aquaporin 1 (Colton blood group)	Ion channel	2.5697e-07	0.467	0.885	268	8
AQP2	359	P41181	aquaporin 2	Ion channel	2.4855e-06	0.581	0.769	114	41
AQP3	360	Q92482	aquaporin 3 (Gill blood group)	Ion channel	0.13398	0.546	0.769	124	1
AQP4	361	P55087	aquaporin 4	Ion channel	0.0022919	0.456	0.885	311	9
AQP5	362	P55064	aquaporin 5	Ion channel	0.053249	0.552	0.769	119	7
AQP6	363	Q13520	aquaporin 6	Ion channel	0.015875	0.695	0.577	26	0
AQP7	364	O14520	aquaporin 7	Ion channel	4.0504e-16	0.67	0.462	34	4
AQP9	366	O43315	aquaporin 9	Ion channel	0.24027	0.565	0.808	100	4
AR	367	P10275	androgen receptor	Nuclear receptor	0.98837	0.351	0.846	854	163
ABCC6	368	O95255	ATP binding cassette subfamily C member 6	Transporter	5.6167e-35	0.54	0.654	181	320
ARAF	369	P10398	A-Raf proto-oncogene, serine/threonine kinase	Kinase	0.96322	0.619	0.654	56	3
ARCN1	372	P48444	archain 1	Transporter	0.99997	0.705	0.462	39	4
TRIM23	373	P36406	tripartite motif containing 23		0.0003937	0.716	0.308	26	1
AREG	374	P15514	amphiregulin	Signaling	0.35407	0.487	0.769	221	0
ARF1	375	P84077	ADP ribosylation factor 1		0.89967	0.626	0.615	61	4
ARF3	377	P61204	ADP ribosylation factor 3		0.35273	0.751	0.385	18	0
ARF4	378	P18085	ADP ribosylation factor 4		0.95992	0.751	0.308	15	0
